"Age","TLKBmean","TLKBse","N","PlusSE","MinusSE"
0,6.27654912216336,0.152320716345306,247,6.42886983850867,6.12422840581806
1,6.84429817755161,0.205083172526271,155,7.04938135007788,6.63921500502534
2,6.15011326064715,0.183435557051348,158,6.3335488176985,5.9666777035958
3,6.20145843116667,0.208828696783452,142,6.41028712795012,5.99262973438321
4,6.09818267833211,0.207720354558083,133,6.30590303289019,5.89046232377402
5,6.01590320614979,0.271952622828472,80,6.28785582897826,5.74395058332132
6,6.03639463601149,0.245878320208405,87,6.2822729562199,5.79051631580309
7,5.96035708404348,0.359944596805799,46,6.32030168084928,5.60041248723768
8,5.29568513832143,0.374488853959574,28,5.670173992281,4.92119628436186
9,5.80129097848571,0.485150176516589,35,6.2864411550023,5.31614080196913
10,5.75666088401111,0.476897113183287,30,6.2335579971944,5.27976377082782
11,6.0476766618,0.630244415398179,15,6.67792107719818,5.41743224640182
12,4.96527056177778,0.743248757255631,9,5.70851931903341,4.22202180452215
13,4.79788270393333,1.2864481004008,8,6.08433080433413,3.51143460353254
14,6.00826408542857,1.00763239241113,7,7.0158964778397,5.00063169301744
15,4.8877427805,0.9532446965,2,5.840987477,3.934498084
17,6.079089333,2.483051164,2,8.562140497,3.596038169
